Year,China ,India ,Indonesia,Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,Turkey ,UAE,Yemen ,Australia ,N. Zealand 
1970,818315,541000,117338,104345,38604,32241,37091,14532,67331,27393,3959,10910,11919,65706,2075,12619,12431,7396,2845,1248,13912,42577,220,28854,9414,2903,1503,748,2383,779,115,6109,6258,35758,249,7098,12660,2828
1971,841105,554000,119767,105697,39718,32883,38202,14862,69150,27926,4045,11171,12155,67491,2113,12869,12749,7388,2904,1283,14365,43614,225,29678,9732,2997,1556,793,2529,803,124,6287,6479,36580,288,7251,12937,2875
1972,862030,567000,122565,107188,40850,33505,39276,15168,70677,28474,4116,11441,12389,69326,2152,13116,13079,7452,2964,1321,14781,44655,231,30522,10062,3096,1614,842,2680,829,134,6473,6701,37493,336,7407,13177,2929
1973,881940,580000,125432,108707,41998,34073,40302,15454,72383,29235,4213,11712,12634,71121,2193,13352,13421,7536,3027,1360,15161,45736,239,31392,10402,3197,1674,894,2826,857,145,6667,6931,38503,391,7580,13380,2992
1974,900350,593000,128369,110162,43162,34692,41306,15752,74585,29799,4320,11986,12889,72912,2230,13562,13772,7610,3092,1403,15501,46902,248,32306,10754,3286,1738,948,2988,884,157,6868,7169,39513,453,7755,13599,3058
1975,916395,607000,131219,111573,44337,35281,42272,16061,76153,30335,4396,12267,13156,74712,2263,13779,14132,7491,3161,1446,15801,48075,259,33265,11118,3354,1803,1007,3099,913,169,7205,7416,40530,523,7934,13771,3118
1976,930685,620000,134314,112775,45574,35860,43221,16435,77821,30872,4518,12554,13433,76456,2293,14013,14501,7227,3176,1487,16069,49273,274,34259,11494,3424,1870,1072,3120,956,181,7620,7670,41472,598,8171,13916,3154
1977,943455,634000,137487,113872,46851,36436,44148,16753,80314,31408,4584,12845,13723,78153,2325,14250,14880,6991,3208,1528,16325,50534,297,35350,11883,3496,1938,1140,3117,1005,194,8129,7933,42377,684,8404,14074,3165
1978,956165,648000,140739,114913,48172,37019,45057,17090,82813,31863,4668,13139,14024,80051,2354,14511,15269,6767,3248,1572,16580,51663,323,36510,12317,3570,2007,1214,3111,1059,207,8709,8203,43275,779,8641,14249,3166
1979,969005,664000,144073,115890,49537,37534,46004,17448,85361,32405,4930,13444,14337,82374,2384,14797,15556,6734,3268,1617,16840,52668,336,37839,12768,3653,2077,1292,3101,1116,221,9346,8484,44165,884,8883,14422,3165
1980,981235,679000,147490,116807,50940,38124,47026,17788,87937,33061,5063,13764,14665,85219,2414,15056,15112,6888,3293,1662,17114,53715,348,39422,13233,3737,2163,1370,3087,1175,237,9999,8774,45048,1000,9133,14616,3170
1981,993861,692000,150657,117648,52228,38723,47937,18097,90517,33669,5183,14096,15011,88417,2535,15315,13813,7080,3337,1709,17384,54903,363,41141,13703,3801,2254,1432,3083,1238,249,10627,9073,46253,1070,9390,14923,3185
1982,1000281,708000,153895,118455,53557,39326,48827,18399,92626,34306,5265,14441,15375,91465,2652,15575,12882,7294,3411,1756,17648,56142,378,42885,14173,3858,2347,1497,3089,1301,260,11255,9410,47464,1138,9658,15162,3217
1983,1023288,723000,157208,119270,54885,39910,49694,18657,94788,34980,5345,14793,15757,94155,2689,15784,12935,7521,3495,1805,17918,57436,393,44632,14652,3927,2440,1566,3092,1363,292,11912,9757,48661,1209,9936,15348,3258
1984,1036825,739000,160595,120035,56258,40406,50534,18918,96955,35671,5398,15157,16155,96502,2743,15977,13388,7676,3577,1856,18196,58762,408,46409,15161,3997,2533,1637,3092,1424,324,12607,10114,49840,1284,10229,15510,3298
1985,1051040,755000,164061,120754,57706,40806,51342,19148,99154,36346,5456,15545,16570,99076,2750,16188,13797,7822,3657,1908,18481,60093,424,48209,15694,4068,2628,1733,3090,1482,356,13330,10481,50997,1363,10540,15695,3324
1986,1066790,771000,166997,121492,59186,41214,52129,19332,101438,36998,5525,15942,17002,102066,2750,16424,13856,8079,3762,1961,18772,61440,440,50027,16247,4140,2724,1811,3089,1538,387,13998,10857,52127,1447,10870,15900,3341
1987,1084035,788000,169990,122091,60648,41622,52910,19536,103816,37625,5585,16333,17453,105208,2795,16663,13868,8380,3869,2015,19068,62826,455,51607,16543,4210,2820,1891,3092,1594,397,14620,11243,53243,1530,11219,16137,3352
1988,1101630,805000,173041,122613,62081,42031,53683,19752,106284,38196,5628,16731,17922,108408,2869,16903,14076,8692,3980,2071,19371,64211,469,52997,17038,4282,2917,1973,3098,1652,413,15233,11632,54356,1623,11591,16400,3361
1989,1118650,822000,176152,123108,63555,42449,54446,19943,108842,38721,5661,17121,18411,111528,2958,17142,14512,9014,4094,2161,19688,65868,485,54479,17568,4355,3019,2057,3109,1712,430,15829,12018,55462,1722,11986,16681,3378
1990,1135185,839000,179323,123537,65088,42869,55197,20172,111437,39243,5688,17507,18918,114607,3047,17365,14669,9345,4210,2218,20019,67283,500,56669,18135,4478,3262,2142,3150,1773,446,16061,12436,56561,1826,12416,16956,3414
1991,1150780,853724,182298,123946,66572,43340,55930,20386,114009,39742,5752,17911,19448,117684,3145,17559,14872,9686,4331,2270,20361,68640,515,58787,17472,4649,3631,954,3196,1843,461,16306,12849,57650,1937,12882,17202,3455
1992,1164970,869090,185327,124329,67978,43837,56667,20591,116561,40133,5830,18325,20033,120098,3236,17756,16318,10123,4454,2318,20711,69941,529,59999,17862,4822,3867,1418,3222,1915,476,16946,13219,58731,2056,13368,17419,3494
