Year,China ,India ,Indonesia,Japan ,Philippines,S. Korea ,Thailand ,Taiwan,Bangladesh,Burma ,Hong Kong,Malaysia ,Nepal ,Pakistan,Singapore ,Sri Lanka,Afghanistan,Cambodia ,Laos,Mongolia ,North Korea ,Vietnam,Bahrain ,Iran,Iraq ,Israel ,Jordan ,Kuwait ,Lebanon ,Oman,Qatar,Saudi Arabia ,Syria ,Turkey ,UAE,Yemen ,Australia ,N. Zealand 
1970,636937,469584,138612,1013602,68102,69877,62842,36868,42403,17575,22548,22684,7787,62522,9209,18912,8819,4785,2127,982,27184,31295,832,120865,32691,23520,3600,22944,6950,2957,3756,46573,22155,110071,6123,8731,152220,31644
1971,668646,474338,146200,1061230,71799,76695,65886,41674,40552,18149,24144,24359,7693,62824,10362,18752,8398,4546,2193,1041,36229,32889,898,135829,34712,26107,3682,24537,7590,2983,4665,53289,24352,120046,7147,10253,158992,33285
1972,688186,472766,162748,1150516,75710,82304,68666,47224,35732,18284,26639,26195,7934,63323,11752,19147,8240,4301,2261,1103,37854,35815,969,157909,33430,29342,3800,25503,8514,3262,5263,61469,30447,127931,8343,11070,163453,34711
1973,739414,494832,186900,1242932,82464,96231,75511,53284,35997,18352,29931,29982,7894,67828,13108,19922,9181,5858,2331,1170,42819,38238,1046,171466,39042,30839,3999,23847,8915,2809,6228,73601,27846,133858,9739,12431,172314,37177
1974,751924,500146,196374,1227706,85398,104605,78894,53903,40817,19323,30629,32222,8393,70141,13994,20570,9680,5007,2403,1243,44038,36744,1136,186655,41133,32941,4355,20799,10465,3132,5661,84700,34563,144829,12894,13152,176586,39390
1975,798346,544683,196374,1265661,90150,111548,82799,56560,40308,20125,30729,32489,8518,73043,14549,21047,10184,4342,2477,1319,44891,34130,1015,195684,47977,34038,4657,18287,10724,3897,5823,84924,41306,157855,13307,14152,181367,38937
1976,793568,551402,213675,1315966,98090,124664,90391,64399,42098,21350,35718,36536,8893,76898,15588,21669,10694,4650,2554,1396,45652,39879,1180,229241,57735,34480,5789,19466,10989,4397,6263,92251,45834,171601,15308,16363,188678,39887
1977,843097,593834,230338,1373741,103585,137531,99304,70962,42525,22625,39908,39513,9161,79951,16797,23082,9959,5016,2633,1479,46379,41343,1322,226315,59320,34480,6166,18722,11260,4410,5586,106191,45254,179005,17978,18167,190653,37944
1978,935083,625695,240853,1446165,108942,150442,109112,80608,45657,24086,43300,42970,9563,86406,18245,24523,10752,5484,2714,1567,47104,41622,1424,199481,70127,36144,7462,20072,11539,4326,6114,112511,49202,184113,17557,19711,196184,38097
1979,1007193,594510,253961,1525477,115086,161172,114828,87197,47846,25222,48289,46469,9790,89580,19932,26125,10715,5593,2798,1661,47842,41873,1419,182267,86258,38416,8142,22827,10873,4511,6364,120028,50986,182536,21926,20805,206515,38874
1980,1041142,637202,275805,1568457,121012,156846,120116,93563,48239,27381,53177,50333,9563,98907,21865,27550,10427,5705,2885,1758,48621,40671,1525,156643,84392,41053,9689,18178,10879,4784,6816,132160,57097,181165,27717,20918,210642,39141
1981,1103378,675882,294768,1618185,125154,166581,127211,99329,49877,28930,58066,53901,9563,106753,23960,29302,10547,5774,2974,1905,49388,42103,1568,151918,69078,43173,10147,14737,10366,5599,5834,142630,62527,189014,28492,22191,218780,41041
1982,1186387,697705,283922,1667653,129648,179220,134020,102857,50487,30499,59662,57102,10749,114852,25601,30788,10726,6218,3066,2064,50138,45526,1669,175826,68501,43948,10897,13006,9680,6245,4731,144989,63857,198495,26145,22563,218512,41809
1983,1287034,753942,295296,1706380,132115,199828,141504,111545,52961,31827,63055,60588,10433,122649,27695,32366,11157,6660,3161,2184,50905,48042,1785,199031,62544,45496,11115,14039,9584,7288,4246,129404,64766,205811,24833,23856,218539,42955
1984,1447262,783042,315677,1773223,122440,217167,149644,123368,55833,33397,69340,65290,11441,127518,30006,33951,11336,7106,3258,2314,51695,52355,1860,202379,62699,45905,12071,14775,9786,8507,4143,129258,62131,217637,25893,24778,233618,45072
1985,1596691,814344,323451,1851315,113493,231386,156598,129478,57519,34349,69639,64617,12146,138632,29451,35381,11299,7554,3359,2446,52505,55481,1854,207245,61714,47489,12493,14148,10028,9697,3699,120605,65928,228744,25287,24578,245444,45420
1986,1703670,848990,342452,1904918,117371,258122,165264,144552,60011,33986,77122,65434,12664,147421,29975,37163,12161,7998,3463,2675,53331,57056,1897,187780,61073,49760,13626,15352,9581,9906,3130,113260,62670,244752,19919,25115,250539,46372
1987,1883027,886154,359323,1984142,122432,287854,180996,167970,62521,32624,87099,68898,13164,155994,32817,37529,10064,7839,3570,2768,54172,59127,1935,184939,62812,53344,13997,14733,6705,10699,3192,118495,63865,266108,20631,26135,262925,46564
1988,2016024,978822,379917,2107060,130699,320301,205047,175747,64329,28921,94083,74982,14199,166031,36491,38520,9228,8035,3681,2909,55033,62685,2003,174532,49540,54417,13853,15247,6099,11018,3240,122284,72342,276460,20580,27249,274737,46435
1989,2051813,1043912,414090,2208858,138809,340751,230043,190217,65948,29989,96478,81996,14525,174001,39857,39543,9284,8233,3795,3031,55934,65615,2053,181227,45160,54895,12387,16389,6106,11481,3275,126701,65860,279614,22766,28203,286820,46850
1990,2123852,1098100,450901,2321153,143025,373150,255732,200477,70320,30834,99770,89823,15609,182014,43330,42089,8861,8235,3912,2954,56874,68959,2054,199819,44583,58511,12371,13111,6099,11487,3276,144438,70894,305395,25496,28212,291180,46729
1991,2263794,1112340,474421,2398928,142191,407582,277618,215620,72668,30634,105395,98397,16603,191942,46259,44025,8932,8860,4031,2681,57846,72965,2148,220999,16540,61848,12656,7735,8429,12176,3263,156571,75927,308224,25547,28297,291916,46113
1992,2483921,1169301,526321,2422245,142668,429744,300059,231766,76330,33593,112336,107140,17285,205962,49355,45918,9021,9482,4245,2426,53391,79313,2316,234472,21370,66051,14807,13723,8808,13211,3566,160955,81318,326670,26237,29683,302571,46621
1993,2724344,1238272,564053,2428242,145704,453344,325215,248023,79822,35622,119466,117741,17950,209584,55404,49086,8741,9870,4674,2354,53552,85720,2508,239395,21370,68298,15666,18416,9425,14017,3552,159989,89938,352940,26001,30544,314360,49627
1994,2997060,1328047,606949,2454919,152115,490745,354484,265650,83082,38286,126016,128587,19425,217417,61722,51835,8479,10258,4964,2408,39468,93292,2502,244901,20306,74172,16445,19970,10179,14556,3635,160811,96821,333685,28228,31205,327595,52254
1995,3450084,1425623,656101,2504246,159264,534517,387097,282715,87174,40946,130912,141226,20099,228206,66685,54686,10700,10940,5230,2560,32758,102192,2600,252983,18475,79215,17495,20186,10841,15259,3742,161564,102698,357681,30459,34594,341575,54413
1996,3521141,1537383,705895,2590265,168507,571926,409936,299967,91204,43584,136550,155353,21170,239266,72117,56765,11342,11543,5355,2620,27091,111737,2707,267403,20799,82938,17861,19518,11274,15700,3922,163815,109904,382738,32356,36631,354521,56333
1997,3706647,1611108,737760,2636148,177264,598526,404197,319997,96117,46088,143476,166729,22025,241694,78283,60397,12023,11846,5636,2726,25249,120845,2791,280773,19996,85675,18409,19708,11725,16671,4865,167106,112640,411553,34517,39592,370333,57151
1998,3717352,1715943,639032,2558595,176200,566815,361756,334622,101139,48748,136347,154459,22435,247857,77549,63236,12744,11998,5806,2821,25130,127812,2924,285827,22993,88246,18950,19354,12077,17121,5275,169987,121201,424177,35916,41532,390635,57449
